C:\Training\Track_2\IMG\center_2023_06_24_13_40_47_046.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_47_046.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_47_046.jpg,0,0,0,2.324134
C:\Training\Track_2\IMG\center_2023_06_24_13_40_47_113.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_47_113.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_47_113.jpg,0,0,0,2.31011
C:\Training\Track_2\IMG\center_2023_06_24_13_40_47_190.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_47_190.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_47_190.jpg,0,0,0,2.291545
C:\Training\Track_2\IMG\center_2023_06_24_13_40_47_265.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_47_265.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_47_265.jpg,0,0,0,2.273129
C:\Training\Track_2\IMG\center_2023_06_24_13_40_47_334.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_47_334.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_47_334.jpg,0,0,0,2.259414
C:\Training\Track_2\IMG\center_2023_06_24_13_40_47_406.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_47_406.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_47_406.jpg,0,0,0,2.241256
C:\Training\Track_2\IMG\center_2023_06_24_13_40_47_482.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_47_482.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_47_482.jpg,0,0,0,2.223243
C:\Training\Track_2\IMG\center_2023_06_24_13_40_47_550.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_47_550.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_47_550.jpg,0,0,0,2.209829
C:\Training\Track_2\IMG\center_2023_06_24_13_40_47_625.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_47_625.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_47_625.jpg,0,0,0,2.19207
C:\Training\Track_2\IMG\center_2023_06_24_13_40_47_700.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_47_700.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_47_700.jpg,0,0,0,2.174453
C:\Training\Track_2\IMG\center_2023_06_24_13_40_47_771.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_47_771.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_47_771.jpg,0,0,0,2.161334
C:\Training\Track_2\IMG\center_2023_06_24_13_40_47_842.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_47_842.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_47_842.jpg,0,0,0,2.143964
C:\Training\Track_2\IMG\center_2023_06_24_13_40_47_912.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_47_912.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_47_912.jpg,0,0,0,2.131028
C:\Training\Track_2\IMG\center_2023_06_24_13_40_47_988.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_47_988.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_47_988.jpg,0,0,0,2.113902
C:\Training\Track_2\IMG\center_2023_06_24_13_40_48_065.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_48_065.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_48_065.jpg,-0.01503759,0.0791877,0,2.107702
C:\Training\Track_2\IMG\center_2023_06_24_13_40_48_134.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_48_134.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_48_134.jpg,-0.01503759,0.2520699,0,2.234432
C:\Training\Track_2\IMG\center_2023_06_24_13_40_48_212.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_48_212.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_48_212.jpg,-0.04511278,0.5167869,0,2.622409
C:\Training\Track_2\IMG\center_2023_06_24_13_40_48_288.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_48_288.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_48_288.jpg,-0.05263158,0.7457511,0,3.232651
C:\Training\Track_2\IMG\center_2023_06_24_13_40_48_362.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_48_362.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_48_362.jpg,-0.06766918,0.9669694,0,4.051099
C:\Training\Track_2\IMG\center_2023_06_24_13_40_48_432.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_48_432.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_48_432.jpg,-0.09774436,1,0,4.749142
C:\Training\Track_2\IMG\center_2023_06_24_13_40_48_500.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_48_500.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_48_500.jpg,-0.1052632,1,0,5.676148
C:\Training\Track_2\IMG\center_2023_06_24_13_40_48_575.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_48_575.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_48_575.jpg,-0.1052632,1,0,6.366928
C:\Training\Track_2\IMG\center_2023_06_24_13_40_48_649.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_48_649.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_48_649.jpg,-0.1052632,0.8237998,0,7.21725
C:\Training\Track_2\IMG\center_2023_06_24_13_40_48_720.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_48_720.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_48_720.jpg,-0.1052632,0.6066718,0,7.831773
C:\Training\Track_2\IMG\center_2023_06_24_13_40_48_797.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_48_797.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_48_797.jpg,-0.1052632,0.612377,0,8.195424
C:\Training\Track_2\IMG\center_2023_06_24_13_40_48_871.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_48_871.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_48_871.jpg,-0.1052632,0.8763239,0,8.862954
C:\Training\Track_2\IMG\center_2023_06_24_13_40_48_941.jpg,C:\Training\Track_2\IMG\left_2023_06_24_13_40_48_941.jpg,C:\Training\Track_2\IMG\right_2023_06_24_13_40_48_941.jpg,-0.1052632,0.9572245,0,9.715226
